888 2802
496 665 98
674 101 819
743 760 721
693 813 748
348 458 267
649 477 37
818 769 104
444 428 731
712 836 506
868 194 309
315 153 321
793 423 396
596 131 575
666 531 574
475 358 637
175 720 114
354 496 704
349 57 161
329 171 917
275 180 525
256 226 793
595 330 262
515 479 859
621 883 947
34 119 956
770 233 829
614 676 495
154 228 232
820 175 140
705 230 635
831 68 100
672 134 399
611 456 264
18 21 159
215 731 303
26 576 186
490 86 26
244 793 373
808 71 147
150 63 524
603 784 663
494 530 818
493 99 988
645 70 430
212 402 480
347 766 410
360 563 632
316 439 651
95 240 876
507 554 913
859 694 703
560 680 599
684 614 644
671 649 578
298 246 691
838 577 281
558 395 850
531 577 96
810 817 98
793 769 794
394 140 875
677 560 303
134 741 660
618 681 749
371 399 71
258 856 293
362 252 654
112 417 237
209 522 432
618 465 98
673 31 129
879 284 568
583 448 363
864 400 715
101 277 551
323 827 788
818 870 206
277 736 581
600 613 908
796 37 446
328 370 44
652 701 132
503 118 648
173 80 430
341 294 245
208 500 375
682 254 638
780 485 626
711 163 324
538 701 170
818 698 413
488 693 392
267 592 878
49 151 153
93 780 395
528 264 559
591 798 284
301 556 138
853 457 774
518 501 791
733 198 662
623 20 741
525 81 270
47 249 257
584 341 396
861 369 934
869 368 756
145 166 732
276 335 189
258 80 947
56 353 25
493 82 305
532 172 460
881 849 811
439 745 68
546 653 601
847 881 229
214 103 993
403 685 249
505 158 14
868 841 316
689 567 206
167 490 959
607 243 810
759 66 808
206 151 905
225 798 169
82 704 77
493 732 202
563 392 954
479 108 111
818 766 483
310 637 791
239 238 865
31 2 463
876 336 399
564 202 974
82 809 424
200 7 457
211 692 98
100 131 868
546 272 490
738 256 808
24 521 980
212 822 482
349 759 669
123 761 812
368 75 980
341 73 144
623 757 763
448 668 177
98 229 237
320 428 697
123 621 651
506 474 432
618 572 461
546 405 95
470 185 837
745 843 651
281 834 217
3 860 340
727 751 302
758 857 276
191 732 760
415 698 937
409 844 994
365 580 320
841 735 816
791 361 165
610 205 496
708 764 411
181 44 288
324 662 106
655 760 965
52 607 527
89 244 780
849 614 823
715 651 85
694 211 241
562 500 999
362 721 767
491 824 970
319 859 469
856 641 463
568 19 271
328 431 252
808 580 233
24 807 311
589 453 657
477 272 76
648 192 285
581 72 386
464 855 733
635 766 983
407 249 924
526 647 354
716 609 812
630 857 204
697 571 251
688 320 505
19 54 777
511 578 13
775 665 38
80 335 79
226 123 275
250 325 535
309 60 397
819 350 801
780 417 170
435 339 682
827 131 410
536 865 682
634 879 393
605 114 195
195 712 262
457 812 843
4 277 497
546 845 266
87 705 192
779 194 247
734 418 778
350 607 240
730 170 760
104 561 340
384 614 367
104 340 669
145 596 493
55 611 339
132 15 244
325 563 629
886 424 466
723 854 270
58 278 672
371 877 758
27 629 837
861 44 695
616 419 894
301 322 728
469 246 519
85 882 603
533 497 286
435 681 855
770 77 645
19 3 767
163 207 35
73 86 91
51 340 463
2 835 382
494 76 866
805 494 381
187 468 416
199 419 308
193 139 57
319 461 687
468 292 944
426 91 285
479 791 411
291 485 684
589 1 597
626 130 608
301 165 304
649 87 995
48 386 742
564 519 839
229 836 170
507 260 931
808 566 110
433 308 620
759 599 446
122 472 610
275 143 469
177 841 511
61 566 209
188 542 823
608 99 151
79 863 109
146 181 319
109 219 32
122 608 671
18 482 682
455 614 146
15 817 588
596 702 623
327 718 671
829 704 106
131 563 762
554 162 561
410 303 806
416 235 785
769 468 362
885 356 777
72 246 828
734 520 574
100 459 640
141 399 620
571 267 528
528 778 163
340 808 974
111 344 580
15 316 597
524 151 525
553 539 697
384 659 463
875 233 81
545 641 479
290 616 737
817 48 490
2 542 951
885 738 592
171 199 301
602 35 840
150 769 48
317 598 480
303 874 490
350 335 777
800 155 604
665 392 409
254 475 226
234 20 295
425 286 123
390 257 452
267 393 922
676 2 342
602 212 351
881 531 239
796 390 127
243 396 584
451 760 851
462 128 531
158 53 966
694 294 119
459 760 883
698 740 761
768 672 20
569 112 532
416 29 913
495 468 795
596 301 17
877 124 983
123 81 315
574 658 128
302 802 789
408 681 115
439 643 319
191 737 762
829 277 153
589 756 228
567 405 850
499 298 299
73 411 703
625 449 758
407 477 767
300 322 106
811 301 180
116 757 997
338 783 531
641 133 535
712 481 824
477 458 786
417 550 136
411 838 565
605 540 699
668 146 499
827 592 964
329 66 154
132 357 721
468 192 716
328 22 643
870 38 16
37 450 229
599 9 651
166 359 49
758 238 244
210 625 704
130 153 74
212 9 422
16 761 801
33 764 569
29 650 793
254 874 227
381 563 322
651 403 450
428 55 511
361 476 358
194 103 653
880 152 157
882 253 277
267 394 664
11 359 619
214 299 159
204 134 278
755 714 958
686 851 41
820 427 667
794 468 170
658 360 597
486 762 689
132 782 648
341 72 381
153 762 805
221 628 484
239 552 985
565 862 724
433 128 619
700 196 579
237 67 126
35 100 166
517 662 514
588 266 642
867 106 614
584 306 622
223 373 121
377 593 314
728 844 853
247 689 878
131 74 246
466 623 810
619 596 68
554 566 265
30 642 792
370 90 685
537 163 739
22 25 371
607 446 658
209 706 421
670 709 431
880 513 38
603 717 943
503 710 59
371 722 360
553 379 81
372 779 3
656 445 735
277 30 10
450 780 456
80 883 943
264 71 906
735 878 923
130 535 704
366 297 254
791 70 449
662 106 381
272 152 79
793 348 551
536 291 577
325 712 452
55 232 539
690 560 475
317 541 259
279 344 116
327 394 97
354 663 22
655 734 932
151 364 147
658 721 886
760 350 128
888 648 224
249 454 944
597 752 103
278 174 252
603 386 284
874 812 29
686 327 984
32 560 861
487 91 179
374 730 658
886 114 526
212 724 49
253 580 28
445 234 297
740 136 511
